"draw","start","end","net_change","net_proportional","currency","identifier","k"
1,706.788195486868,605.659957039377,-101.128238447491,-0.143081391417169,"scaled_energy","bbs_rtrg_1_11",5
2,726.055094793576,647.595007484811,-78.4600873087646,-0.108063544862352,"scaled_energy","bbs_rtrg_1_11",5
3,722.99428406137,634.150880522569,-88.8434035388012,-0.122882580813405,"scaled_energy","bbs_rtrg_1_11",5
4,700.56762693989,627.762641435388,-72.8049855045026,-0.103922851563264,"scaled_energy","bbs_rtrg_1_11",5
5,708.482141748597,581.689759920546,-126.792381828051,-0.1789634125641,"scaled_energy","bbs_rtrg_1_11",5
6,702.981357332956,636.390388316263,-66.5909690166934,-0.0947265077829847,"scaled_energy","bbs_rtrg_1_11",5
7,726.128777203706,627.976095731572,-98.1526814721334,-0.135172554171611,"scaled_energy","bbs_rtrg_1_11",5
8,716.973566853011,603.38893614861,-113.584630704401,-0.158422340732804,"scaled_energy","bbs_rtrg_1_11",5
9,688.174601215023,609.643341103436,-78.5312601115866,-0.114115313138459,"scaled_energy","bbs_rtrg_1_11",5
10,725.004041624236,628.584098743894,-96.4199428803425,-0.132992283276562,"scaled_energy","bbs_rtrg_1_11",5
11,735.099677858011,622.216626704545,-112.883051153466,-0.153561557097118,"scaled_energy","bbs_rtrg_1_11",5
12,769.319011459776,614.936405605521,-154.382605854255,-0.200674367271017,"scaled_energy","bbs_rtrg_1_11",5
13,699.262294455825,599.557021132418,-99.705273323407,-0.142586371543169,"scaled_energy","bbs_rtrg_1_11",5
14,720.274834460069,602.518248387872,-117.756586072197,-0.163488408088656,"scaled_energy","bbs_rtrg_1_11",5
15,722.242228348675,613.171273299614,-109.070955049061,-0.151017139081495,"scaled_energy","bbs_rtrg_1_11",5
16,721.441830269905,623.162648476979,-98.2791817929265,-0.136226065178614,"scaled_energy","bbs_rtrg_1_11",5
17,704.493592603198,638.047953215875,-66.4456393873227,-0.0943168824883093,"scaled_energy","bbs_rtrg_1_11",5
18,709.998519839602,597.645151611711,-112.35336822789,-0.158244510500209,"scaled_energy","bbs_rtrg_1_11",5
19,699.315626867055,606.518693876514,-92.7969329905407,-0.132696781575256,"scaled_energy","bbs_rtrg_1_11",5
20,717.515691115219,584.683051615139,-132.83263950008,-0.18512855000233,"scaled_energy","bbs_rtrg_1_11",5
21,732.202466402887,612.816606816739,-119.385859586147,-0.163050337938163,"scaled_energy","bbs_rtrg_1_11",5
22,705.7823579848,585.438574918117,-120.343783066684,-0.170511180543387,"scaled_energy","bbs_rtrg_1_11",5
23,706.449523859651,602.539683127087,-103.909840732564,-0.147087424116104,"scaled_energy","bbs_rtrg_1_11",5
24,700.779793201133,602.698678584892,-98.0811146162401,-0.139959963982708,"scaled_energy","bbs_rtrg_1_11",5
25,698.978341050389,592.279199153913,-106.699141896476,-0.152650140397961,"scaled_energy","bbs_rtrg_1_11",5
26,752.199977279413,615.698483975546,-136.501493303867,-0.181469685491843,"scaled_energy","bbs_rtrg_1_11",5
