"currency","identifier","row","year","mean_ichange_proportional","lower_ichange_proportional","upper_ichange_proportional","k"
"abundance","bbs_rtrg_1_11",2,1975,-0.0190107628449777,-0.0309298604073486,-0.00350833358742627,5
"abundance","bbs_rtrg_1_11",3,1976,-0.0181661502751721,-0.0297417825983873,-0.00306061778409541,5
"abundance","bbs_rtrg_1_11",4,1977,-0.0162446906964655,-0.0270280131552869,-0.00205387150271166,5
"abundance","bbs_rtrg_1_11",5,1978,-0.0132517366771556,-0.022775186560752,-0.000523851127098274,5
"abundance","bbs_rtrg_1_11",6,1979,-0.00949935559413622,-0.017631342863764,0.00103724637970411,5
"abundance","bbs_rtrg_1_11",7,1988,0.0330186747523409,0.00654863603932456,0.0699752684484349,5
"abundance","bbs_rtrg_1_11",8,1991,0.0146251415527897,-0.00679047540046785,0.0308762933122797,5
"abundance","bbs_rtrg_1_11",9,1992,-0.000859280100556103,-0.00908570951602154,0.00466389663700672,5
"abundance","bbs_rtrg_1_11",10,1993,-0.00504181802177365,-0.0130593875317052,0.0015486911580014,5
"abundance","bbs_rtrg_1_11",11,1994,-0.00978736923526277,-0.0178799889362703,-0.00339870519611544,5
"abundance","bbs_rtrg_1_11",12,1995,-0.0148291201289807,-0.0222924692155945,-0.00889921188053426,5
"abundance","bbs_rtrg_1_11",13,1996,-0.0198635302786525,-0.026387431744889,-0.0137083917974213,5
"abundance","bbs_rtrg_1_11",14,1997,-0.0245867833108185,-0.0311957067101642,-0.018160014061765,5
"abundance","bbs_rtrg_1_11",15,1998,-0.0287296076462281,-0.0352757556273944,-0.0221246529005755,5
"abundance","bbs_rtrg_1_11",16,1999,-0.0320884468168356,-0.0386202465114439,-0.0253236349011144,5
"abundance","bbs_rtrg_1_11",17,2000,-0.0345516762528493,-0.0409966339066106,-0.0278051298202359,5
"abundance","bbs_rtrg_1_11",18,2008,-0.236925510812133,-0.25817235814808,-0.211831373945898,5
"abundance","bbs_rtrg_1_11",19,2009,-0.0200877631463647,-0.027694178578948,-0.0134131487321301,5
"abundance","bbs_rtrg_1_11",20,2010,-0.0153089185943705,-0.0251234612359902,-0.00632576083025489,5
"abundance","bbs_rtrg_1_11",21,2012,-0.0190006330261088,-0.0429869857979718,0.00424165534344009,5
"abundance","bbs_rtrg_1_11",22,2013,-0.00605116550429313,-0.0196009721165629,0.00728180631501275,5
"abundance","bbs_rtrg_1_11",23,2014,-0.00519475603423485,-0.0191495751713361,0.00853215870484612,5
"scaled_energy","bbs_rtrg_1_11",2,1975,-0.0302499202868885,-0.0449050507278896,-0.0176814821109646,5
"scaled_energy","bbs_rtrg_1_11",3,1976,-0.0283035671820985,-0.0425495698918363,-0.0160872197475838,5
"scaled_energy","bbs_rtrg_1_11",4,1977,-0.0238773718444145,-0.0371777293906282,-0.0125819981524309,5
"scaled_energy","bbs_rtrg_1_11",5,1978,-0.0169798561874699,-0.0287699661819054,-0.00715488490726853,5
"scaled_energy","bbs_rtrg_1_11",6,1979,-0.00832363993751085,-0.0181516895432067,-0.000263327506542117,5
"scaled_energy","bbs_rtrg_1_11",7,1988,0.209622044192232,0.17349145886331,0.247124236513767,5
"scaled_energy","bbs_rtrg_1_11",8,1991,0.0679761715655904,0.0482316940527945,0.0921547634301615,5
"scaled_energy","bbs_rtrg_1_11",9,1992,0.00843340448116699,0.00228869754817997,0.0150257797285547,5
"scaled_energy","bbs_rtrg_1_11",10,1993,-0.00110318105080309,-0.00694261959669614,0.00459696457781495,5
"scaled_energy","bbs_rtrg_1_11",11,1994,-0.0114781997072075,-0.0171773182681982,-0.00529687654695263,5
"scaled_energy","bbs_rtrg_1_11",12,1995,-0.0219668905026596,-0.0275825718491088,-0.0150881650719195,5
"scaled_energy","bbs_rtrg_1_11",13,1996,-0.0318163449618004,-0.0374181910259455,-0.0252216947698293,5
"scaled_energy","bbs_rtrg_1_11",14,1997,-0.0403328703026479,-0.0461125913037945,-0.0341154013138871,5
"scaled_energy","bbs_rtrg_1_11",15,1998,-0.0469583640224336,-0.0527816684899819,-0.0407829138669738,5
"scaled_energy","bbs_rtrg_1_11",16,1999,-0.0513339417882761,-0.0569243915841222,-0.0449938533096278,5
"scaled_energy","bbs_rtrg_1_11",17,2000,-0.0533517872926502,-0.0592140910979812,-0.0469359700753092,5
"scaled_energy","bbs_rtrg_1_11",18,2008,-0.242385662174511,-0.267366434460021,-0.217220076105241,5
"scaled_energy","bbs_rtrg_1_11",19,2009,0.0124563991301328,0.00475491996608886,0.0199970550095758,5
"scaled_energy","bbs_rtrg_1_11",20,2010,0.0269346865836372,0.0173574007713705,0.0362396804256568,5
"scaled_energy","bbs_rtrg_1_11",21,2012,0.0904139258015604,0.0658839342810942,0.116193784806744,5
"scaled_energy","bbs_rtrg_1_11",22,2013,0.0547672240995118,0.0414287748545878,0.0687763958644102,5
"scaled_energy","bbs_rtrg_1_11",23,2014,0.0573160721353601,0.0436074809088617,0.0717628854045758,5
"abundance","bbs_rtrg_1_14",2,1971,0.0849529135743951,0.0772068942987581,0.0932033967405714,5
"abundance","bbs_rtrg_1_14",3,1972,0.0847353448871791,0.0770616480649645,0.0929077119177943,5
"abundance","bbs_rtrg_1_14",4,1973,0.0841822419663132,0.0766872551951351,0.0921611750312164,5
"abundance","bbs_rtrg_1_14",5,1974,0.0831836435195309,0.0760003193847892,0.0908244035962425,5
"abundance","bbs_rtrg_1_14",6,1975,0.0816666805510982,0.0749383106034741,0.0888124433512429,5
"abundance","bbs_rtrg_1_14",7,1976,0.0795923675889531,0.0734585622057572,0.0860892864013841,5
"abundance","bbs_rtrg_1_14",8,1977,0.0769521337647875,0.0714641411220319,0.0826672872059554,5
"abundance","bbs_rtrg_1_14",9,1978,0.0737640908636824,0.0690004218311063,0.0785996408070833,5
"abundance","bbs_rtrg_1_14",10,1979,0.0700690861839007,0.0660826189295695,0.074112182500993,5
"abundance","bbs_rtrg_1_14",11,1980,0.0659266231079481,0.0626825922279625,0.069239516512106,5
"abundance","bbs_rtrg_1_14",12,1981,0.0614107525462415,0.0583400407171518,0.0643203179666004,5
"abundance","bbs_rtrg_1_14",13,1982,0.0566060454558236,0.0537847594501429,0.0589621560537346,5
"abundance","bbs_rtrg_1_14",14,1984,0.100486699466586,0.0952924464035443,0.106087582170603,5
"abundance","bbs_rtrg_1_14",15,1985,0.0412752366706144,0.0383665732368459,0.0444613410181035,5
"abundance","bbs_rtrg_1_14",16,1986,0.0360586191673692,0.0328447377334371,0.0394160082273139,5
"abundance","bbs_rtrg_1_14",17,1987,0.0309202572104693,0.027599526665128,0.0343061322927668,5
"abundance","bbs_rtrg_1_14",18,1988,0.0259402274114298,0.0222644759139811,0.0292346063798271,5
"abundance","bbs_rtrg_1_14",19,1989,0.0211896287821591,0.0175089720636474,0.0243506990421118,5
"abundance","bbs_rtrg_1_14",20,1990,0.0167294034567277,0.0132740959383571,0.0198229008649807,5
"abundance","bbs_rtrg_1_14",21,1991,0.0126095572324903,0.00931791878852796,0.0158974406295463,5
"abundance","bbs_rtrg_1_14",22,1992,0.00886874995392098,0.00587937396651105,0.0120312358110232,5
"abundance","bbs_rtrg_1_14",23,1993,0.0055342212750343,0.00296515773504498,0.0084731735112754,5
"abundance","bbs_rtrg_1_14",24,1994,0.00262201530643216,0.00041101460034397,0.00537551930153236,5
"abundance","bbs_rtrg_1_14",25,1995,0.000137467369858286,-0.00186163214436036,0.0028083615145675,5
"abundance","bbs_rtrg_1_14",26,1996,-0.00192408314962831,-0.00387559429777317,0.000769076567701171,5
"abundance","bbs_rtrg_1_14",27,1997,-0.00357638865158062,-0.00567539004646987,-0.000698398499702815,5
"abundance","bbs_rtrg_1_14",28,1998,-0.0048412314722969,-0.00714095690099856,-0.00190471006527185,5
"abundance","bbs_rtrg_1_14",29,1999,-0.00574723706489167,-0.00821166179285123,-0.00263236780856915,5
"abundance","bbs_rtrg_1_14",30,2000,-0.00632859448553709,-0.00890074415283027,-0.00302692963323156,5
"abundance","bbs_rtrg_1_14",31,2001,-0.00662371641801547,-0.00932952928307259,-0.00330409423794811,5
"abundance","bbs_rtrg_1_14",32,2002,-0.00667387116033711,-0.00939982326965485,-0.00376569482909813,5
"abundance","bbs_rtrg_1_14",33,2003,-0.00652181918132998,-0.00928177944180114,-0.00398115520431916,5
"abundance","bbs_rtrg_1_14",34,2004,-0.00621048675087197,-0.0090119031928192,-0.00385326963671579,5
"abundance","bbs_rtrg_1_14",35,2005,-0.00578170848527995,-0.00843930680979653,-0.00348563285811367,5
"abundance","bbs_rtrg_1_14",36,2006,-0.00527506921394392,-0.00761920050071512,-0.00308340288018311,5
"abundance","bbs_rtrg_1_14",37,2007,-0.00472687323308913,-0.00676769798868661,-0.00281005819963414,5
"abundance","bbs_rtrg_1_14",38,2008,-0.00416926573852841,-0.00640042722625523,-0.00185974651008352,5
"abundance","bbs_rtrg_1_14",39,2009,-0.00362952709601153,-0.00615810390503748,-0.00099409206748706,5
"abundance","bbs_rtrg_1_14",40,2010,-0.00312955578186599,-0.00598964425509658,-0.000229097667701955,5
"abundance","bbs_rtrg_1_14",41,2011,-0.00268555054372278,-0.00595291061599323,0.000643026883172351,5
"abundance","bbs_rtrg_1_14",42,2012,-0.00230789686534725,-0.0063447418954567,0.00148448071658719,5
"abundance","bbs_rtrg_1_14",43,2013,-0.00200125745280224,-0.00659465698552408,0.00216690198311098,5
"abundance","bbs_rtrg_1_14",44,2015,-0.00335024928751595,-0.013564867881871,0.005814886079469,5
"abundance","bbs_rtrg_1_14",45,2016,-0.0014875333442275,-0.00696006900150044,0.00336181330728475,5
"abundance","bbs_rtrg_1_14",46,2017,-0.00143159363988022,-0.00701666291763939,0.00350417543032984,5
"abundance","bbs_rtrg_1_14",47,2018,-0.0014108490504471,-0.00704094868632936,0.00355949728201909,5
"scaled_energy","bbs_rtrg_1_14",2,1971,0.0549560984049142,0.0484366688143824,0.0624846519123738,5
"scaled_energy","bbs_rtrg_1_14",3,1972,0.0548357597292222,0.0483796768807036,0.062298480517624,5
"scaled_energy","bbs_rtrg_1_14",4,1973,0.0545285531017843,0.0482296003193304,0.06182859038917,5
"scaled_energy","bbs_rtrg_1_14",5,1974,0.0539711688411357,0.0479174762532702,0.0609878745679399,5
"scaled_energy","bbs_rtrg_1_14",6,1975,0.0531198351753698,0.0473874634539602,0.0597243655057443,5
"scaled_energy","bbs_rtrg_1_14",7,1976,0.0519488312772351,0.0466407969639042,0.0580118961283694,5
"scaled_energy","bbs_rtrg_1_14",8,1977,0.0504488880132372,0.0456602401160934,0.0558532658443659,5
"scaled_energy","bbs_rtrg_1_14",9,1978,0.0486254702347419,0.0443650693790149,0.0532752286081857,5
"scaled_energy","bbs_rtrg_1_14",10,1979,0.0464969528419865,0.0425440913968916,0.0503842778851745,5
"scaled_energy","bbs_rtrg_1_14",11,1980,0.0440927165023366,0.0404805742827253,0.0472427569397794,5
"scaled_energy","bbs_rtrg_1_14",12,1981,0.0414511979973498,0.0385272732692741,0.0442414723140333,5
"scaled_energy","bbs_rtrg_1_14",13,1982,0.0386179350858137,0.0360471963209822,0.0415693205346751,5
"scaled_energy","bbs_rtrg_1_14",14,1984,0.0693799548589893,0.0640972697925486,0.0756215759910408,5
"scaled_energy","bbs_rtrg_1_14",15,1985,0.029425495269634,0.0267780879241933,0.0324944285022145,5
"scaled_energy","bbs_rtrg_1_14",16,1986,0.0262475447104175,0.0234306717027335,0.0294668091465601,5
"scaled_energy","bbs_rtrg_1_14",17,1987,0.0230940246348469,0.0201180959564941,0.026433314331973,5
"scaled_energy","bbs_rtrg_1_14",18,1988,0.0200168501843178,0.0168801964683981,0.0234420041279419,5
"scaled_energy","bbs_rtrg_1_14",19,1989,0.0170640045860957,0.0138953919320812,0.0204876556100421,5
"scaled_energy","bbs_rtrg_1_14",20,1990,0.0142785811948382,0.0112437692410405,0.0176402587002961,5
"scaled_energy","bbs_rtrg_1_14",21,1991,0.01169801360212,0.00889857224621643,0.0147628541376667,5
"scaled_energy","bbs_rtrg_1_14",22,1992,0.00935349294327998,0.00695634059478768,0.0121238969171612,5
"scaled_energy","bbs_rtrg_1_14",23,1993,0.00726956818578999,0.00494236630110246,0.00973549921539807,5
"scaled_energy","bbs_rtrg_1_14",24,1994,0.00546392259690014,0.00340511353371413,0.00758166516422657,5
"scaled_energy","bbs_rtrg_1_14",25,1995,0.00394731763983768,0.00180644614549359,0.00594029390691998,5
"scaled_energy","bbs_rtrg_1_14",26,1996,0.00272369409516476,0.00058569284885228,0.00475198799433594,5
"scaled_energy","bbs_rtrg_1_14",27,1997,0.00179041910444551,-0.000538946491774989,0.00401538658715993,5
"scaled_energy","bbs_rtrg_1_14",28,1998,0.00113866695966643,-0.00132080088287324,0.00361381764166378,5
"scaled_energy","bbs_rtrg_1_14",29,1999,0.000753920711930057,-0.00191314483232316,0.00340391848451855,5
"scaled_energy","bbs_rtrg_1_14",30,2000,0.000616580975627336,-0.00231276955618958,0.00340239463235609,5
"scaled_energy","bbs_rtrg_1_14",31,2001,0.000702667619487234,-0.00235148020485156,0.0036873783962603,5
"scaled_energy","bbs_rtrg_1_14",32,2002,0.000984599352146614,-0.00204878806858757,0.00379965225331457,5
"scaled_energy","bbs_rtrg_1_14",33,2003,0.0014320355386751,-0.00144642292817875,0.00407663117445124,5
"scaled_energy","bbs_rtrg_1_14",34,2004,0.00201276395437269,-0.000639619179907811,0.00466009412827993,5
"scaled_energy","bbs_rtrg_1_14",35,2005,0.00269361763292703,0.000410658491693562,0.00511242306949969,5
"scaled_energy","bbs_rtrg_1_14",36,2006,0.00344140354375581,0.00139904685182091,0.00552031245370206,5
"scaled_energy","bbs_rtrg_1_14",37,2007,0.00422382558847273,0.00232573033130461,0.00650123892057728,5
"scaled_energy","bbs_rtrg_1_14",38,2008,0.00501038439248574,0.00315483639777413,0.00746258445144392,5
"scaled_energy","bbs_rtrg_1_14",39,2009,0.00577323664273755,0.00366009972852642,0.00859767039697232,5
"scaled_energy","bbs_rtrg_1_14",40,2010,0.00648799735013586,0.00410197541028787,0.00973810534944935,5
"scaled_energy","bbs_rtrg_1_14",41,2011,0.00713446946479599,0.00456863577444929,0.0108191474692526,5
"scaled_energy","bbs_rtrg_1_14",42,2012,0.00769728681798872,0.00463177124015392,0.0116614631875321,5
"scaled_energy","bbs_rtrg_1_14",43,2013,0.00816645848052087,0.00450681837785116,0.0123674541792049,5
"scaled_energy","bbs_rtrg_1_14",44,2015,0.0174304963063578,0.00868811217155121,0.0269703726755751,5
"scaled_energy","bbs_rtrg_1_14",45,2016,0.00899139878451997,0.00420482441814939,0.0141278222363107,5
"scaled_energy","bbs_rtrg_1_14",46,2017,0.00908968270293119,0.00415426959190104,0.0143636389534555,5
"scaled_energy","bbs_rtrg_1_14",47,2018,0.00912789354158337,0.00413199411311263,0.0144574865408848,5
"abundance","bbs_rtrg_1_2",2,1969,-0.148746750261456,-0.156944828533138,-0.140352300886881,5
"abundance","bbs_rtrg_1_2",3,1970,-0.0748347017893324,-0.0791895606651803,-0.0704072497979323,5
"abundance","bbs_rtrg_1_2",4,1971,-0.0713760868612256,-0.0755990953321181,-0.0671048456089221,5
"abundance","bbs_rtrg_1_2",5,1972,-0.066241249860466,-0.070265758428202,-0.0622041069594623,5
"abundance","bbs_rtrg_1_2",6,1973,-0.0593503756486639,-0.0631039048225207,-0.0556311509690892,5
"abundance","bbs_rtrg_1_2",7,1974,-0.0507794933887969,-0.0541890582109477,-0.0474614615740613,5
"abundance","bbs_rtrg_1_2",8,1975,-0.040738120024008,-0.0437350632491192,-0.0378176470061709,5
"abundance","bbs_rtrg_1_2",9,1976,-0.0295487236023449,-0.0320813143994388,-0.0270631698423148,5
"abundance","bbs_rtrg_1_2",10,1977,-0.0176264919333183,-0.0198565871555388,-0.0155543386661272,5
"abundance","bbs_rtrg_1_2",11,1979,0.00101973179243176,-0.0033865806583912,0.00434961749076492,5
"abundance","bbs_rtrg_1_2",12,1980,0.0180960067021769,0.0163241652945208,0.0197667520523683,5
"abundance","bbs_rtrg_1_2",13,1981,0.0288484324493265,0.0269114080678422,0.0308954078187992,5
"abundance","bbs_rtrg_1_2",14,1982,0.0382677575375534,0.0360429538458478,0.0406003662949602,5
"abundance","bbs_rtrg_1_2",15,1983,0.0459105012631181,0.0435046201893092,0.0484357888677623,5
"abundance","bbs_rtrg_1_2",16,1984,0.0514171387317428,0.0485661588372839,0.0540272516559837,5
"abundance","bbs_rtrg_1_2",17,1985,0.0545335638298108,0.0516251138294747,0.0571946537939459,5
"abundance","bbs_rtrg_1_2",18,1986,0.0551265231838288,0.0522967974363356,0.0578876547137397,5
"abundance","bbs_rtrg_1_2",19,1987,0.0531914926369995,0.0503450679966891,0.056212817896055,5
"abundance","bbs_rtrg_1_2",20,1988,0.0488522531453738,0.0460942391562041,0.0520507196851027,5
"abundance","bbs_rtrg_1_2",21,1989,0.0423523499459022,0.0397873737264395,0.0453872117819688,5
"abundance","bbs_rtrg_1_2",22,1991,0.0591357934028575,0.0546289354497544,0.0644259163574464,5
"abundance","bbs_rtrg_1_2",23,1992,0.0132304789492702,0.0113776609081237,0.0156713413905858,5
"abundance","bbs_rtrg_1_2",24,1993,0.001389277907935,-0.000316609340094414,0.0036372496498218,5
"abundance","bbs_rtrg_1_2",25,1994,-0.0107024042098181,-0.0124112274697795,-0.00834887435342943,5
"abundance","bbs_rtrg_1_2",26,1996,-0.0553349313741962,-0.0591795918580189,-0.0509377822423975,5
"abundance","bbs_rtrg_1_2",27,1997,-0.0438167604942602,-0.0458855838856435,-0.0413905928242369,5
"abundance","bbs_rtrg_1_2",28,1998,-0.0528543557771988,-0.0551137605985907,-0.0503602648061948,5
"abundance","bbs_rtrg_1_2",29,1999,-0.0603526083793797,-0.0628253822535409,-0.0580663551440298,5
"abundance","bbs_rtrg_1_2",30,2000,-0.0660387415091217,-0.0686763125531291,-0.0640015481638549,5
"abundance","bbs_rtrg_1_2",31,2001,-0.0697188767700598,-0.0724577773388498,-0.0675264116191598,5
"abundance","bbs_rtrg_1_2",32,2002,-0.0712795155802044,-0.0740362969507298,-0.0690536514712631,5
"abundance","bbs_rtrg_1_2",33,2003,-0.0706878751297753,-0.0733888697956294,-0.0685530702790323,5
"abundance","bbs_rtrg_1_2",34,2004,-0.0679914307574471,-0.0704563610020434,-0.066035079464095,5
"abundance","bbs_rtrg_1_2",35,2005,-0.0633166918596582,-0.0654811122522953,-0.0613893239156863,5
"abundance","bbs_rtrg_1_2",36,2006,-0.0568668919518262,-0.0588242697064439,-0.0550899147702025,5
"abundance","bbs_rtrg_1_2",37,2007,-0.0489179517709344,-0.0509090910149756,-0.046941667101376,5
"abundance","bbs_rtrg_1_2",38,2008,-0.0398118263959719,-0.0418557856238961,-0.0376168779150853,5
"abundance","bbs_rtrg_1_2",39,2009,-0.029946223707115,-0.0323162693356207,-0.0273500839494626,5
"abundance","bbs_rtrg_1_2",40,2010,-0.0197597289122099,-0.0225704949976125,-0.0168536739112964,5
"abundance","bbs_rtrg_1_2",41,2011,-0.00971162157349984,-0.0129633656616648,-0.00652330944896665,5
"abundance","bbs_rtrg_1_2",42,2012,-0.000256133246948997,-0.00395768267429554,0.0031976970389711,5
"abundance","bbs_rtrg_1_2",43,2013,0.00818847128886758,0.00393024825000348,0.0120486109199732,5
"abundance","bbs_rtrg_1_2",44,2014,0.015274888003571,0.0105133441739295,0.0195469673475502,5
"abundance","bbs_rtrg_1_2",45,2015,0.0207640830212199,0.0157031470377545,0.0253676539346411,5
"abundance","bbs_rtrg_1_2",46,2016,0.0245627405799841,0.0193022765835194,0.0293662567064856,5
"abundance","bbs_rtrg_1_2",47,2017,0.0267586885284684,0.0213840499116994,0.0316585232969112,5
"abundance","bbs_rtrg_1_2",48,2018,0.0276527544574751,0.0222320412525393,0.0325913059190758,5
"scaled_energy","bbs_rtrg_1_2",2,1969,-0.156119487737214,-0.163287860505323,-0.147790516097815,5
"scaled_energy","bbs_rtrg_1_2",3,1970,-0.0787388245998915,-0.082603159980627,-0.074314124443541,5
"scaled_energy","bbs_rtrg_1_2",4,1971,-0.0751457969403199,-0.0789495852627324,-0.0708586694112369,5
"scaled_energy","bbs_rtrg_1_2",5,1972,-0.0698139554974418,-0.0735241729471564,-0.0657328193776388,5
"scaled_energy","bbs_rtrg_1_2",6,1973,-0.062661935488245,-0.066243221372428,-0.058860332046152,5
"scaled_energy","bbs_rtrg_1_2",7,1974,-0.0537700221527096,-0.0571855019766768,-0.0503209272303301,5
"scaled_energy","bbs_rtrg_1_2",8,1975,-0.0433569205925038,-0.0465658198181419,-0.0402582667819719,5
"scaled_energy","bbs_rtrg_1_2",9,1976,-0.0317584900137698,-0.0345826422988278,-0.0289566438467215,5
"scaled_energy","bbs_rtrg_1_2",10,1977,-0.0194067869581341,-0.0217036130301417,-0.0169881647310546,5
"scaled_energy","bbs_rtrg_1_2",11,1979,-0.0012685732662767,-0.00487904671405085,0.00263025510126469,5
"scaled_energy","bbs_rtrg_1_2",12,1980,0.0175486160912576,0.0156899326335986,0.0197265193416684,5
"scaled_energy","bbs_rtrg_1_2",13,1981,0.0286496746506586,0.0268548437096287,0.030793487161996,5
"scaled_energy","bbs_rtrg_1_2",14,1982,0.0383609909914288,0.0362736049840391,0.040710352012352,5
"scaled_energy","bbs_rtrg_1_2",15,1983,0.046226720948017,0.0439175786934853,0.0488570998724008,5
"scaled_energy","bbs_rtrg_1_2",16,1984,0.0518802410399212,0.0493327959355074,0.0546496089717477,5
"scaled_energy","bbs_rtrg_1_2",17,1985,0.0550665585048825,0.0522495201402143,0.0578515836601905,5
"scaled_energy","bbs_rtrg_1_2",18,1986,0.0556582063134565,0.0527158528203512,0.0586194064086784,5
"scaled_energy","bbs_rtrg_1_2",19,1987,0.0536630146041268,0.0509058941379551,0.0566726087311121,5
"scaled_energy","bbs_rtrg_1_2",20,1988,0.0492230191200312,0.0466461716934135,0.0521017888610454,5
"scaled_energy","bbs_rtrg_1_2",21,1989,0.0426047800982251,0.0401429419193617,0.0452015715625632,5
"scaled_energy","bbs_rtrg_1_2",22,1991,0.0593491562560162,0.0550078825984472,0.063655975737073,5
"scaled_energy","bbs_rtrg_1_2",23,1992,0.0132587613200562,0.0112536832020972,0.0150462219398392,5
"scaled_energy","bbs_rtrg_1_2",24,1993,0.00144484588863447,-0.000417557606656675,0.00310220474745779,5
"scaled_energy","bbs_rtrg_1_2",25,1994,-0.0105293965042743,-0.012457574503685,-0.00875224224374167,5
"scaled_energy","bbs_rtrg_1_2",26,1996,-0.0541981581834163,-0.0583072191492701,-0.0504889230781639,5
"scaled_energy","bbs_rtrg_1_2",27,1997,-0.0425604281063018,-0.0447998518918454,-0.0405025258324306,5
"scaled_energy","bbs_rtrg_1_2",28,1998,-0.0509641514868172,-0.0532848520450442,-0.0487735497621965,5
"scaled_energy","bbs_rtrg_1_2",29,1999,-0.0576786528837378,-0.060122033091042,-0.0553114847398477,5
"scaled_energy","bbs_rtrg_1_2",30,2000,-0.0624263474237276,-0.0648585961936315,-0.0599569593286428,5
