"currency","identifier","draw","mean_ichange_over_ts","mean_abs_ichange_over_ts","k"
"abundance","bbs_rtrg_1_11",1,-0.0226606201386155,0.0258405265528997,5
"abundance","bbs_rtrg_1_11",2,-0.0221408171922721,0.0255878621238207,5
"abundance","bbs_rtrg_1_11",3,-0.0218484735017011,0.0289277917177635,5
"abundance","bbs_rtrg_1_11",4,-0.0217045304012078,0.0303121377030724,5
"abundance","bbs_rtrg_1_11",5,-0.0215886565872896,0.0256976110211633,5
"abundance","bbs_rtrg_1_11",6,-0.0239692525173737,0.0284070859383086,5
"abundance","bbs_rtrg_1_11",7,-0.0234088537646497,0.0265668662653465,5
"abundance","bbs_rtrg_1_11",8,-0.0225851291826286,0.02785916043203,5
"abundance","bbs_rtrg_1_11",9,-0.0221389994556274,0.0232196007434134,5
"abundance","bbs_rtrg_1_11",10,-0.0251345011366133,0.0272604657689545,5
"abundance","bbs_rtrg_1_11",11,-0.0259851214974898,0.026619094470599,5
"abundance","bbs_rtrg_1_11",12,-0.0244433782642172,0.0292507729894145,5
"abundance","bbs_rtrg_1_11",13,-0.0221492118497595,0.0262821024514637,5
"abundance","bbs_rtrg_1_11",14,-0.0196469942577408,0.0280910860807759,5
"abundance","bbs_rtrg_1_11",15,-0.0237570602616331,0.0291698205736181,5
"abundance","bbs_rtrg_1_11",16,-0.0237095081815298,0.0243489090036268,5
"abundance","bbs_rtrg_1_11",17,-0.023418348585949,0.0272829042924897,5
"abundance","bbs_rtrg_1_11",18,-0.0220828742503966,0.0271015614669662,5
"abundance","bbs_rtrg_1_11",19,-0.0212520180667156,0.0280872249781548,5
"abundance","bbs_rtrg_1_11",20,-0.0246555455062986,0.0293933237749524,5
"abundance","bbs_rtrg_1_11",21,-0.0221297932183108,0.0268541487788129,5
"abundance","bbs_rtrg_1_11",22,-0.0209485246581723,0.030724972284864,5
"abundance","bbs_rtrg_1_11",23,-0.0239307573538172,0.0279111103170854,5
"abundance","bbs_rtrg_1_11",24,-0.0227747147244313,0.0265254452225962,5
"abundance","bbs_rtrg_1_11",25,-0.0204651102040725,0.0261191030222791,5
"abundance","bbs_rtrg_1_11",26,-0.0203288802152754,0.0312598645448727,5
"abundance","bbs_rtrg_1_11",27,-0.0209421533542168,0.0270366444110037,5
"abundance","bbs_rtrg_1_11",28,-0.0242310015043011,0.0261250704444752,5
"abundance","bbs_rtrg_1_11",29,-0.0241777402523679,0.0273788258916198,5
"abundance","bbs_rtrg_1_11",30,-0.0209169018979604,0.0305771499572203,5
"abundance","bbs_rtrg_1_11",31,-0.0251097554112477,0.0265159398193271,5
"abundance","bbs_rtrg_1_11",32,-0.0220237058529051,0.0299300633917037,5
"abundance","bbs_rtrg_1_11",33,-0.0211445550866561,0.0258190982751927,5
"abundance","bbs_rtrg_1_11",34,-0.0213637413498144,0.028425157167647,5
"abundance","bbs_rtrg_1_11",35,-0.0216975847456992,0.028194548979411,5
"abundance","bbs_rtrg_1_11",36,-0.0221238897432103,0.0252369631976989,5
"abundance","bbs_rtrg_1_11",37,-0.0246509564402597,0.0283781730156259,5
"abundance","bbs_rtrg_1_11",38,-0.0228287737443661,0.0266889694416175,5
"abundance","bbs_rtrg_1_11",39,-0.0231896036420186,0.0261628989516988,5
"abundance","bbs_rtrg_1_11",40,-0.0224669324825821,0.0249805132752586,5
"abundance","bbs_rtrg_1_11",41,-0.0240204189655086,0.0285724123373595,5
"abundance","bbs_rtrg_1_11",42,-0.02181911702596,0.0288061181290299,5
"abundance","bbs_rtrg_1_11",43,-0.0201361828165485,0.0258628801714443,5
"abundance","bbs_rtrg_1_11",44,-0.019433080252118,0.025464097232309,5
"abundance","bbs_rtrg_1_11",45,-0.0236001554526966,0.028546903857447,5
"abundance","bbs_rtrg_1_11",46,-0.0221783762445544,0.0267963870537565,5
"abundance","bbs_rtrg_1_11",47,-0.0232518546399465,0.0246596144695025,5
"abundance","bbs_rtrg_1_11",48,-0.0236152522025185,0.027178297840848,5
"abundance","bbs_rtrg_1_11",49,-0.026616569580727,0.0298392604054778,5
"abundance","bbs_rtrg_1_11",50,-0.0244818948872139,0.0267829197011205,5
"abundance","bbs_rtrg_1_11",51,-0.0240784651567026,0.029106821706332,5
"abundance","bbs_rtrg_1_11",52,-0.023778239255128,0.0283363039537813,5
"abundance","bbs_rtrg_1_11",53,-0.0231168563412556,0.0282822542298756,5
"abundance","bbs_rtrg_1_11",54,-0.0236475581370407,0.0285431816569966,5
"abundance","bbs_rtrg_1_11",55,-0.0237961288660846,0.0264286935229495,5
"abundance","bbs_rtrg_1_11",56,-0.0227012262073932,0.0288880594300993,5
"abundance","bbs_rtrg_1_11",57,-0.0205149103167796,0.0289270884772483,5
