"currency","identifier","mean_net_proportional","lower_net_proportional","upper_net_proportional","k"
"abundance","bbs_rtrg_1_11",-0.416623181311871,-0.45398369711396,-0.371997130960984,5
"scaled_energy","bbs_rtrg_1_11",-0.140757393505112,-0.195666060116052,-0.0895707492649932,5
"abundance","bbs_rtrg_1_14",1.93125960939634,1.76651171796588,2.09673236847232,5
"scaled_energy","bbs_rtrg_1_14",1.50760342986185,1.38488625194614,1.65962739256262,5
"abundance","bbs_rtrg_1_2",-0.561673106269988,-0.580374765558463,-0.543692812215339,5
"scaled_energy","bbs_rtrg_1_2",-0.413297034016739,-0.434317566808361,-0.387228753671167,5
"abundance","bbs_rtrg_1_3",3.6901175859979,2.87522709264429,4.58634767893856,5
"scaled_energy","bbs_rtrg_1_3",3.64745928514946,2.81460337370214,4.56881031989236,5
"abundance","bbs_rtrg_1_4",-0.159787007345887,-0.228747128323986,-0.0886120609917954,5
"scaled_energy","bbs_rtrg_1_4",-0.100788996731622,-0.171551364562931,-0.0301413311333569,5
"abundance","bbs_rtrg_1_45",0.738630827932138,0.635794257529916,0.836506352460642,5
"scaled_energy","bbs_rtrg_1_45",0.80244440553763,0.70510459213146,0.915457466202043,5
"abundance","bbs_rtrg_1_56",0.227242682040929,0.0984705836253312,0.369675017506929,5
"scaled_energy","bbs_rtrg_1_56",0.246247781482754,0.130524186121567,0.366717891599242,5
"abundance","bbs_rtrg_1_57",0.332663549230657,0.167678852336805,0.482040626096041,5
"scaled_energy","bbs_rtrg_1_57",0.245035767550691,0.110606557857495,0.391229518836781,5
"abundance","bbs_rtrg_1_65",-0.198482325743492,-0.252625695876278,-0.144269805367699,5
"scaled_energy","bbs_rtrg_1_65",-0.0752381145576823,-0.133064895030158,-0.00758193272592986,5
"abundance","bbs_rtrg_1_68",-0.712482246145894,-0.724627351835643,-0.69887733890077,5
"scaled_energy","bbs_rtrg_1_68",-0.712173317815608,-0.725611713964147,-0.698622906598104,5
"abundance","bbs_rtrg_1_7",-0.145058160063588,-0.20653348223767,-0.0892872573035458,5
"scaled_energy","bbs_rtrg_1_7",-0.00954694444720078,-0.0672234348764254,0.0607319386432155,5
"abundance","bbs_rtrg_1_75",-0.624381522575901,-0.64421448993196,-0.603152330914147,5
"scaled_energy","bbs_rtrg_1_75",-0.451385186500187,-0.476363566479784,-0.4224427063358,5
"abundance","bbs_rtrg_1_76",-0.375493760615163,-0.401864156734312,-0.350999799945376,5
"scaled_energy","bbs_rtrg_1_76",-0.0851668582184811,-0.115688032975662,-0.0452404066940606,5
"abundance","bbs_rtrg_10_11",-0.598730094156743,-0.623847320488976,-0.572692819792137,5
"scaled_energy","bbs_rtrg_10_11",-0.550392417989569,-0.576479228792826,-0.518402884018207,5
"abundance","bbs_rtrg_10_14",-0.382067477522163,-0.445983944927089,-0.304786690568889,5
"scaled_energy","bbs_rtrg_10_14",-0.324369656721863,-0.397443256702352,-0.251058740050589,5
"abundance","bbs_rtrg_10_2",0.339351514437545,0.25254942962158,0.436759507333131,5
"scaled_energy","bbs_rtrg_10_2",-0.0431188690007736,-0.102680364948523,0.0100926553585266,5
"abundance","bbs_rtrg_10_3",0.336764247143798,0.239087658151896,0.445708662974506,5
"scaled_energy","bbs_rtrg_10_3",0.451841101616727,0.342185818478235,0.546396796594086,5
"abundance","bbs_rtrg_10_4",0.987466864118767,0.856912650885103,1.11968537751127,5
"scaled_energy","bbs_rtrg_10_4",0.940329420421693,0.827912668965783,1.06901155429597,5
"abundance","bbs_rtrg_10_43",-0.0909871840618344,-0.175419269246486,-0.0011829304806058,5
"scaled_energy","bbs_rtrg_10_43",-0.220339079212364,-0.289405342007841,-0.152789715312678,5
"abundance","bbs_rtrg_10_56",-0.629097457842517,-0.649761346976752,-0.606834062074025,5
"scaled_energy","bbs_rtrg_10_56",-0.461879801779193,-0.499429880671637,-0.417024397113622,5
"abundance","bbs_rtrg_10_57",-0.359729113341095,-0.393335006396157,-0.322488439264513,5
"scaled_energy","bbs_rtrg_10_57",-0.346930326038996,-0.384514010341494,-0.306727040741185,5
"abundance","bbs_rtrg_10_68",-0.325526441492936,-0.357861904876749,-0.291354366143801,5
"scaled_energy","bbs_rtrg_10_68",0.153396882430028,0.103483606588347,0.216106021158478,5
"abundance","bbs_rtrg_10_7",-0.393261465098625,-0.420625686773265,-0.364832478430867,5
"scaled_energy","bbs_rtrg_10_7",-0.522652277793743,-0.542183089799702,-0.49982108124653,5
"abundance","bbs_rtrg_10_76",0.0064282037064821,-0.0561504751724509,0.0869180188341002,5
"scaled_energy","bbs_rtrg_10_76",0.392998968538801,0.299869312492927,0.485364544638045,5
"abundance","bbs_rtrg_10_93",0.251206129948488,0.101182803882642,0.408735594813374,5
"scaled_energy","bbs_rtrg_10_93",0.0333381296627181,-0.0886947457947986,0.148392143943645,5
"abundance","bbs_rtrg_100_45",-0.295940766176529,-0.380322722220232,-0.1908716985136,5
"scaled_energy","bbs_rtrg_100_45",-0.122144660243931,-0.235899188485527,-0.00576684790537152,5
"abundance","bbs_rtrg_101_3",-0.155003400632703,-0.219286066368759,-0.0879326186837848,5
"scaled_energy","bbs_rtrg_101_3",-0.171639759006095,-0.228280679637406,-0.111592061138809,5
"abundance","bbs_rtrg_101_4",-0.401819720034329,-0.443743696853629,-0.357943757555651,5
"scaled_energy","bbs_rtrg_101_4",-0.300066525478725,-0.351481122943726,-0.239603989564017,5
"abundance","bbs_rtrg_101_45",-0.0864399289646268,-0.165821465850279,-0.00947984386426485,5
"scaled_energy","bbs_rtrg_101_45",0.0650516896376838,-0.0177227994334584,0.174724238201702,5
"abundance","bbs_rtrg_101_6",0.233217200497441,0.0705251822670972,0.385625032466799,5
"scaled_energy","bbs_rtrg_101_6",0.652057221881877,0.48650411956397,0.86091987922923,5
"abundance","bbs_rtrg_102_18",-0.173710269065071,-0.23676339468166,-0.0961953586699683,5
"scaled_energy","bbs_rtrg_102_18",0.141503045935605,0.0417491015855038,0.23150497930585,5
"abundance","bbs_rtrg_102_2",-0.0154307604292662,-0.0823429474677627,0.05314721957936,5
"scaled_energy","bbs_rtrg_102_2",0.687517689085809,0.576421250225729,0.790952520171675,5
"abundance","bbs_rtrg_102_45",-0.182432984941481,-0.222557986043614,-0.142495873704021,5
"scaled_energy","bbs_rtrg_102_45",-0.184119378110604,-0.217413428357767,-0.14826850715432,5
"abundance","bbs_rtrg_102_79",0.21998875254582,0.129067962796047,0.310173773121849,5
"scaled_energy","bbs_rtrg_102_79",0.390858467618641,0.297499582509661,0.49274433217523,5
"abundance","bbs_rtrg_103_14",0.161123715281404,0.0734107869930819,0.257213960464102,5
"scaled_energy","bbs_rtrg_103_14",0.259009266177344,0.154887211687606,0.353104979827395,5
"abundance","bbs_rtrg_103_45",-0.352443525157654,-0.395515656653936,-0.303886442356754,5
"scaled_energy","bbs_rtrg_103_45",-0.293492365957927,-0.340072681194878,-0.250683323522932,5
"abundance","bbs_rtrg_103_6",-0.628464178929049,-0.676362106405415,-0.575051523364249,5
"scaled_energy","bbs_rtrg_103_6",-0.253608526177782,-0.372778477267766,-0.145016588124534,5
"abundance","bbs_rtrg_103_7",1.21245491968209,0.965944228687505,1.4406508873022,5
"scaled_energy","bbs_rtrg_103_7",0.302972946723432,0.145373241906735,0.454027232213045,5
"abundance","bbs_rtrg_103_79",0.191701504743067,0.086086745901572,0.299895781296642,5
"scaled_energy","bbs_rtrg_103_79",0.147528196920978,0.0456410092123199,0.246094237149524,5
"abundance","bbs_rtrg_104_14",-0.692460153907388,-0.719899471146804,-0.661436598782199,5
"scaled_energy","bbs_rtrg_104_14",-0.413745937720443,-0.459579509010203,-0.371879076089364,5
"abundance","bbs_rtrg_105_14",-0.212457883930316,-0.278675114682195,-0.132292339754525,5
"scaled_energy","bbs_rtrg_105_14",0.0345395667493817,-0.0520005821834876,0.123483118907704,5
"abundance","bbs_rtrg_105_2",1.01488199807914,0.880321296840748,1.14074590108991,5
