"year","richness","abundance","biomass","energy","mean_energy","mean_mass","site_name","time","scaled_energy"
1994,33,323,8983.78025045341,31622.4868295326,97.9024360047448,27.8135611469146,"rockies",NA,231.925326393996
1995,36,245,11835.8340478663,31132.6161232789,127.071902543996,48.309526725985,"rockies",NA,228.332521563332
1996,44,299,12540.5064437344,35389.4825174367,118.359473302464,41.9414931228574,"rockies",NA,259.553188464161
1997,45,281,11410.750770878,34505.6048447984,122.795746778642,40.6076539888895,"rockies",NA,253.070661684276
1998,38,300,10802.8516395561,33698.0257595276,112.326752531759,36.0095054651872,"rockies",NA,247.147723240185
1999,40,305,19622.231501704,49742.1228654839,163.088927427816,64.3351852514884,"rockies",NA,364.818179648463
2000,42,334,16334.0100452869,44804.6302886161,134.145599666515,48.9042216924758,"rockies",NA,328.605671010827
2001,33,203,10293.0703215201,28332.0798046071,139.566895589197,50.7047799089659,"rockies",NA,207.792856125647
2002,38,256,16150.9222588437,40488.1887573409,158.156987333363,63.0895400736084,"rockies",NA,296.948068735642
2003,40,195,11884.5834569685,30129.4305785125,154.509900402628,60.9465818306076,"rockies",NA,220.974968181844
2004,41,246,10528.6040546482,31448.4985109666,127.839424841328,42.7992034741798,"rockies",NA,230.649263009427
2005,34,163,11492.35235407,28916.0140476559,177.398859188073,70.5052291660733,"rockies",NA,212.075540806386
2006,37,237,20050.0394915266,46108.4902477427,194.550591762627,84.5993227490573,"rockies",NA,338.168427672649
2007,31,142,12537.4759375731,26218.4334379223,184.636855196636,88.2920840674165,"rockies",NA,192.290972098707
2008,31,187,16547.9531579147,37635.3363547459,201.258483180459,88.491728117191,"rockies",NA,276.024707198883
2009,41,231,13775.4914582248,35715.2578475779,154.611505833671,59.6341621568175,"rockies",NA,261.942486629779
2010,36,201,17128.8039870013,38651.275019447,192.294900594264,85.2179302835886,"rockies",NA,283.475794384949
2011,33,164,10484.6991738362,26166.1085223753,159.549442209606,63.9310925233917,"rockies",NA,191.907211226825
2013,32,127,10144.9413662422,23745.9243867866,186.975782573123,79.8814280806474,"rockies",NA,174.157120963343
2014,48,390,15960.6961189788,48499.0018436379,124.356414983687,40.9248618435355,"rockies",NA,355.700893892505
2015,44,435,16357.7423766583,48463.7415948422,111.410900218028,37.6040054635823,"rockies",NA,355.442288528709
2016,42,347,8832.15290336365,32157.6446986105,92.6733276617019,25.4528902114226,"rockies",NA,235.850275880963
2017,49,334,13829.9472331451,39066.8735992413,116.966687422878,41.4070276441469,"rockies",NA,286.523873329128
2018,45,353,11616.8631163959,36080.6005374866,102.211332967384,32.9089606696767,"rockies",NA,264.621979329373
1994,62,466,37415.6147097859,94782.7909572922,203.396547118653,80.2910186905278,"hartland",NA,354.659216697964
1995,59,508,36256.9842496888,96115.4652566351,189.20367176503,71.372016239545,"hartland",NA,359.645831022619
1996,54,569,76487.9145294544,141883.538288052,249.355954812042,134.425157345263,"hartland",NA,530.901274834265
1997,63,599,78054.5852115435,145887.680420442,243.552054124277,130.308155611926,"hartland",NA,545.884014821955
1998,62,475,41247.8057546841,101080.2254,212.800474526316,86.8374857993349,"hartland",NA,378.22302130954
1999,54,500,60999.1613058349,120898.805918911,241.797611837821,121.99832261167,"hartland",NA,452.380388611264
2000,61,610,130619.479351668,205164.215465474,336.334779451597,214.130294019128,"hartland",NA,767.685559968617
2001,54,449,50029.5630935707,99025.2520392545,220.546218350233,111.424416689467,"hartland",NA,370.53370096883
2002,63,474,49536.9159651368,110511.701008681,233.147048541522,104.508261529825,"hartland",NA,413.513813212766
2003,58,550,76724.2718998276,161213.81557556,293.1160283192,139.498676181505,"hartland",NA,603.231504110074
2004,48,440,89839.5799408356,140894.41116819,320.214570836795,204.180863501899,"hartland",NA,527.200148859793
2005,54,497,77225.1408587305,132658.369930613,266.91824935737,155.382577180544,"hartland",NA,496.382445513968
2006,51,443,31031.1734379302,81024.1741579851,182.898812997709,70.0477955709486,"hartland",NA,303.177083627115
2007,59,513,160872.265049194,207995.178056334,405.448690168292,313.591159939949,"hartland",NA,778.278484747842
2008,50,441,35688.8636706738,90361.9369931378,204.902351458362,80.9271285049293,"hartland",NA,338.117220115804
2009,54,478,43624.6808098854,103029.416188662,215.542711691762,91.265022614823,"hartland",NA,385.516523340022
2010,54,503,53386.9402993684,116216.476093516,231.046672154108,106.137058249241,"hartland",NA,434.859998976986
2011,57,471,113715.88056235,165833.99093742,352.089152733375,241.434990578238,"hartland",NA,620.519323536944
2012,53,494,48663.0908891701,115463.097387579,233.730966371618,98.5082811521663,"hartland",NA,432.040998829112
2013,56,423,119597.326991045,162661.006595061,384.541386749554,282.735997614763,"hartland",NA,608.646618269561
2014,58,569,113739.315504464,181341.398621434,318.701930793381,199.89334886549,"hartland",NA,678.545100227847
2015,54,530,93405.3625283681,150219.844597129,283.433669051187,176.236533072393,"hartland",NA,562.094151050198
