"year","abundance","energy","site_name","scaled_energy"
1974,951,163685.666951579,"bbs_rtrg_1_11",828.535978587193
1975,623,111976.350695466,"bbs_rtrg_1_11",566.796330002038
1976,771,136097.839568973,"bbs_rtrg_1_11",688.893284249737
1977,773,123462.551988697,"bbs_rtrg_1_11",624.936613179986
1978,637,121096.029221461,"bbs_rtrg_1_11",612.957865783732
1979,892,141970.562737855,"bbs_rtrg_1_11",718.619542683473
1988,628,103376.741409441,"bbs_rtrg_1_11",523.267254866999
1991,775,174308.354683478,"bbs_rtrg_1_11",882.305371711748
1992,936,189851.372379374,"bbs_rtrg_1_11",960.980246651638
1993,843,220854.436917631,"bbs_rtrg_1_11",1117.91001878621
1994,811,172813.110921311,"bbs_rtrg_1_11",874.736821106277
1995,755,154784.082750691,"bbs_rtrg_1_11",783.478381827418
1996,731,137372.610165011,"bbs_rtrg_1_11",695.345854733961
1997,621,117407.318686492,"bbs_rtrg_1_11",594.286534018806
1998,633,108804.619545674,"bbs_rtrg_1_11",550.741818810252
1999,680,125233.16840167,"bbs_rtrg_1_11",633.899031391345
2000,707,145074.673643877,"bbs_rtrg_1_11",734.331777084085
2008,546,115406.252275327,"bbs_rtrg_1_11",584.157635453222
2009,436,104568.596929515,"bbs_rtrg_1_11",529.300129938161
2010,526,97853.403627491,"bbs_rtrg_1_11",495.309498030601
2012,493,107100.831226958,"bbs_rtrg_1_11",542.117667727007
2013,440,92745.1457522797,"bbs_rtrg_1_11",469.452772048808
2014,465,130516.032667296,"bbs_rtrg_1_11",660.639571327307
1970,386,76703.7019961748,"bbs_rtrg_1_14",451.013511590006
1971,379,74226.1660110456,"bbs_rtrg_1_14",436.445737471367
1972,467,101092.531719811,"bbs_rtrg_1_14",594.418477073631
1973,447,96313.5520755211,"bbs_rtrg_1_14",566.31834194201
1974,381,68054.5263987954,"bbs_rtrg_1_14",400.156839004279
1975,346,72006.9395404874,"bbs_rtrg_1_14",423.396808965284
1976,370,72268.2317290992,"bbs_rtrg_1_14",424.933192535698
1977,470,101867.197148665,"bbs_rtrg_1_14",598.973466810535
1978,628,112093.2890034,"bbs_rtrg_1_14",659.102319489327
1979,532,110867.661854869,"bbs_rtrg_1_14",651.895699863761
1980,826,157850.932168187,"bbs_rtrg_1_14",928.154722290723
1981,902,157605.374948402,"bbs_rtrg_1_14",926.710859463903
1982,806,122867.83474837,"bbs_rtrg_1_14",722.45605061
1984,893,130572.125518575,"bbs_rtrg_1_14",767.756852841865
1985,843,122514.250717078,"bbs_rtrg_1_14",720.376996125732
1986,865,132286.125692964,"bbs_rtrg_1_14",777.835078760552
1987,866,133431.513691687,"bbs_rtrg_1_14",784.569896637568
1988,1001,148124.007004915,"bbs_rtrg_1_14",870.960942059891
1989,855,140003.826923323,"bbs_rtrg_1_14",823.214733754003
1990,1228,192215.042483166,"bbs_rtrg_1_14",1130.21378414145
1991,963,130371.597770859,"bbs_rtrg_1_14",766.577760812216
1992,1152,205660.200242327,"bbs_rtrg_1_14",1209.27056571822
1993,1020,155446.016563433,"bbs_rtrg_1_14",914.013951979115
1994,1176,203395.550735917,"bbs_rtrg_1_14",1195.95455228177
1995,962,129562.87519621,"bbs_rtrg_1_14",761.822516947806
1996,959,162926.96054807,"bbs_rtrg_1_14",958.001487504947
1997,1073,181788.184314471,"bbs_rtrg_1_14",1068.90443667673
1998,902,137946.01597698,"bbs_rtrg_1_14",811.114919573653
1999,961,151747.820092879,"bbs_rtrg_1_14",892.268761938389
2000,958,152404.884551537,"bbs_rtrg_1_14",896.132264495998
2001,1017,163366.166365992,"bbs_rtrg_1_14",960.583993343604
2002,1040,176229.66209011,"bbs_rtrg_1_14",1036.22063442967
2003,984,168976.851800513,"bbs_rtrg_1_14",993.574512371962
