"year","treatment","species","abundance","energy"
"1979","control","BA",0,0
"1979","control","DM",50,4789.99917408131
"1979","control","DO",8,802.992434357094
"1979","control","DS",37,8141.83881500165
"1979","control","NA",10,2653.22732507104
"1979","control","OL",12,981.900416731918
"1979","control","OT",23,1375.68970747898
"1979","control","PB",0,0
"1979","control","PE",2,105.594536198986
"1979","control","PF",2,48.9740242640977
"1979","control","PH",0,0
"1979","control","PI",0,0
"1979","control","PL",0,0
"1979","control","PM",1,63.616133959869
"1979","control","PP",4,173.404162888456
"1979","control","RF",0,0
"1979","control","RM",3,83.6192267024503
"1979","control","RO",0,0
"1979","control","SF",0,0
"1979","control","SH",0,0
"1979","control","SO",0,0
"1979","exclosure","BA",0,0
"1979","exclosure","DM",0,0
"1979","exclosure","DO",0,0
"1979","exclosure","DS",0,0
"1979","exclosure","NA",0,0
"1979","exclosure","OL",5,408.196718468397
"1979","exclosure","OT",3,165.40034706703
"1979","exclosure","PB",0,0
"1979","exclosure","PE",5,278.6335447411
"1979","exclosure","PF",6,149.407261850038
"1979","exclosure","PH",0,0
"1979","exclosure","PI",0,0
"1979","exclosure","PL",0,0
"1979","exclosure","PM",0,0
"1979","exclosure","PP",2,91.04
"1979","exclosure","RF",0,0
"1979","exclosure","RM",3,83.3422237314146
"1979","exclosure","RO",0,0
"1979","exclosure","SF",0,0
"1979","exclosure","SH",0,0
"1979","exclosure","SO",0,0
"1979","removal","BA",0,0
"1979","removal","DM",0,0
"1979","removal","DO",0,0
"1979","removal","DS",0,0
"1979","removal","NA",0,0
"1979","removal","OL",2,134.722873408783
"1979","removal","OT",0,0
"1979","removal","PB",0,0
"1979","removal","PE",3,171.181675572701
"1979","removal","PF",0,0
"1979","removal","PH",0,0
"1979","removal","PI",0,0
"1979","removal","PL",0,0
"1979","removal","PM",0,0
"1979","removal","PP",0,0
"1979","removal","RF",0,0
"1979","removal","RM",0,0
"1979","removal","RO",0,0
"1979","removal","SF",0,0
"1979","removal","SH",0,0
"1979","removal","SO",0,0
"1979","spectabs","BA",0,0
"1979","spectabs","DM",6,516.592967734671
"1979","spectabs","DO",0,0
"1979","spectabs","DS",0,0
"1979","spectabs","NA",0,0
"1979","spectabs","OL",0,0
"1979","spectabs","OT",6,362.269200507087
"1979","spectabs","PB",0,0
"1979","spectabs","PE",0,0
"1979","spectabs","PF",0,0
"1979","spectabs","PH",0,0
"1979","spectabs","PI",0,0
"1979","spectabs","PL",0,0
"1979","spectabs","PM",0,0
"1979","spectabs","PP",0,0
"1979","spectabs","RF",0,0
"1979","spectabs","RM",0,0
"1979","spectabs","RO",0,0
"1979","spectabs","SF",0,0
"1979","spectabs","SH",0,0
"1979","spectabs","SO",0,0
"1980","control","BA",0,0
"1980","control","DM",215,20675.3589815507
"1980","control","DO",48,4898.78545807237
"1980","control","DS",245,50769.825456416
"1980","control","NA",37,9168.20466252074
"1980","control","OL",57,4388.86501476201
"1980","control","OT",36,2248.98845599475
"1980","control","PB",0,0
"1980","control","PE",3,157.324222863712
"1980","control","PF",40,1013.96135753883
"1980","control","PH",0,0
"1980","control","PI",0,0
"1980","control","PL",0,0
"1980","control","PM",0,0
"1980","control","PP",14,584.355183706738
"1980","control","RF",0,0
"1980","control","RM",7,243.49049326552
"1980","control","RO",0,0
"1980","control","SF",0,0
"1980","control","SH",0,0
"1980","control","SO",0,0
"1980","exclosure","BA",0,0
"1980","exclosure","DM",1,98.8602380143538
"1980","exclosure","DO",0,0
"1980","exclosure","DS",0,0
"1980","exclosure","NA",2,492.626651317064
"1980","exclosure","OL",2,172.42512096688
"1980","exclosure","OT",19,1184.3422506912
"1980","exclosure","PB",0,0
"1980","exclosure","PE",5,276.394350901739
"1980","exclosure","PF",41,1081.64920255037
"1980","exclosure","PH",0,0
"1980","exclosure","PI",0,0
"1980","exclosure","PL",0,0
"1980","exclosure","PM",0,0
"1980","exclosure","PP",1,34.3681994673169
"1980","exclosure","RF",0,0
"1980","exclosure","RM",22,674.234349047232
"1980","exclosure","RO",0,0
"1980","exclosure","SF",0,0
"1980","exclosure","SH",0,0
"1980","exclosure","SO",0,0
"1980","removal","BA",0,0
"1980","removal","DM",4,385.318677664996
"1980","removal","DO",0,0
"1980","removal","DS",0,0
"1980","removal","NA",0,0
"1980","removal","OL",8,639.413093493845
"1980","removal","OT",9,500.23631216952
"1980","removal","PB",0,0
"1980","removal","PE",2,107.600155605447
"1980","removal","PF",0,0
"1980","removal","PH",0,0
"1980","removal","PI",0,0
"1980","removal","PL",0,0
"1980","removal","PM",0,0
"1980","removal","PP",0,0
"1980","removal","RF",0,0
"1980","removal","RM",3,100.680260279117
"1980","removal","RO",0,0
"1980","removal","SF",0,0
"1980","removal","SH",0,0
"1980","removal","SO",0,0
"1980","spectabs","BA",0,0
"1980","spectabs","DM",44,4249.60193792985
"1980","spectabs","DO",0,0
"1980","spectabs","DS",7,1381.97515130321
"1980","spectabs","NA",8,1932.97371543401
"1980","spectabs","OL",4,292.835717325981
"1980","spectabs","OT",4,238.826064931321
"1980","spectabs","PB",0,0
"1980","spectabs","PE",6,391.354583211865
"1980","spectabs","PF",1,27.0663539374619
"1980","spectabs","PH",0,0
"1980","spectabs","PI",0,0
"1980","spectabs","PL",0,0
"1980","spectabs","PM",0,0
"1980","spectabs","PP",1,41.1820814442282
"1980","spectabs","RF",0,0
"1980","spectabs","RM",2,68.5216967743119
"1980","spectabs","RO",0,0
"1980","spectabs","SF",0,0
"1980","spectabs","SH",0,0
"1980","spectabs","SO",0,0
"1981","control","BA",0,0
"1981","control","DM",266,25647.15643298
"1981","control","DO",61,6375.81014193621
"1981","control","DS",223,47695.8484101958
"1981","control","NA",40,10241.258073269
"1981","control","OL",26,1901.76147723108
"1981","control","OT",34,2027.21191987293
"1981","control","PB",0,0
"1981","control","PE",18,996.581704975611
"1981","control","PF",23,562.080366043455
